Accession	Length	Family	species	Genus	Host_range_isolates	Host_range_taxon	Database
ivig_2223	47259	NA	NA	NA	GCA_003481745,GCA_003470215,GCA_003482095,GCA_003480555,GCA_003482385,GCA_003473405,GCA_003464175,18048_1#94,GCA_003435835,18048_2#94,GCA_003479155,GCA_003461065,GCA_003480845,GCA_003466985,GCA_003474555,GCA_003474735,GCA_003465585,GCA_003480245,GCA_003435795,GCA_003438715,GCA_003478705,GCA_003480065,GCA_003479185,GCA_003466795,GCA_003438175,GCA_003481835,GCA_003474935,GCA_003461845,GCA_003471975,GCA_003466745,GCA_003433855,GCA_003460385,GCA_003479665	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia/GCA_000436935.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia/GCA_000436935.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_A/GCA_900066745.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/GCA_900066545.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_I/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/GCA_900066545.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_A/Coprococcus_A catus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans	GPD
uvig_200195	43642	Siphoviridae	NA	NA	NA	NA	GPD
uvig_413781	32480	NA	NA	NA	GCA_003471445,GCA_003465185,GCF_001182045,GCA_003464235	Proteobacteria/Gammaproteobacteria/Betaproteobacteriales/Burkholderiaceae/Dakarella/NA,Proteobacteria/Gammaproteobacteria/Betaproteobacteriales/Burkholderiaceae/Dakarella/NA,Proteobacteria/Gammaproteobacteria/Betaproteobacteriales/Burkholderiaceae/Dakarella/Dakarella massiliensis,Proteobacteria/Gammaproteobacteria/Betaproteobacteriales/Burkholderiaceae/Dakarella/NA	GPD
uvig_288331	40228	NA	NA	NA	GCA_003474785,GCA_003463405,GCA_003462805,GCA_003469405,GCA_003464465,GCA_003467205	Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus	GPD
uvig_114775	42804	NA	NA	NA	13470_2#84,12718_7#79,GCF_001078445,18391_1#2,GCF_000189615,11861_6#93	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis	GPD
uvig_126746	53119	NA	NA	NA	GCF_000156635,GCA_003463505,GCA_003472575,GCA_003467785,GCA_003463425,GCA_003436025,GCF_001025155,GCA_003471295,GCA_003467905,GCA_003459475,GCA_003439655,GCA_003436315,GCA_003467755,GCA_003470125,GCA_003473345,GCA_003463455,GCA_003437435,GCA_003465775,GCA_003465135,GCA_003436955,13470_2#59,GCA_003471505,GCA_003438405,GCA_003472545,GCF_000261205,GCA_003467515,GCA_003473115,GCA_003436675,GCA_003471415,GCA_003463265,GCA_003459865,GCA_003468385,GCA_003473105,GCA_003468555,GCA_003474015,GCA_003467065,GCA_003474835,GCA_003473025,GCA_003458965	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	GPD
uvig_291386	16745	Podoviridae	NA	NA	NA	NA	GPD
SRR8204574_141_50198_round1256~5214576	NA	NA	NA	NA	NA	NA	mMGE
SRR5930527_119_133305_round347~1615509	NA	NA	NA	NA	NA	NA	mMGE
uvig_240977	37145	NA	NA	NA	GCA_003463185,GCF_000156035	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Tyzzerella/Tyzzerella nexilis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Tyzzerella/Tyzzerella nexilis	GPD
uvig_199769	46169	NA	NA	NA	GCA_003461485,GCA_003463575,GCA_003461945,GCA_003462345,GCA_003461435,GCA_003461985	Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii	GPD
k141_3036_round8-12~2676667	NA	NA	NA	NA	NA	NA	mMGE
NC_002185|ncbi_ref_viral_genome_database|MVP_viral_cluster	35466	Siphoviridae	Streptococcus virus 7201	Moineauvirus	NA	Streptococcus thermophilus	MVP
SRR5279262_119_49724_round347~2634677	NA	NA	NA	NA	NA	NA	mMGE
uvig_415030	41501	NA	NA	NA	13470_2#84,GCA_003433765,12718_7#79,GCF_001078445,18391_1#2,11861_6#93,GCF_000234155	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis	GPD
uvig_138265	38607	NA	NA	NA	NA	NA	GPD
uvig_223906	65342	NA	NA	NA	GCA_003480855,GCA_003438285,GCA_003479745,GCA_003478645,GCA_003478905,GCA_003477715	Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1,Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1,Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1,Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1,Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1,Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1	GPD
uvig_326055	12917	Podoviridae	NA	NA	NA	NA	GPD
k119_10023_round1256~5672413	NA	NA	NA	NA	NA	NA	mMGE
k119_24545_round347~3974633	NA	NA	NA	NA	NA	NA	mMGE
k141_138417_round1256~5465251	NA	NA	NA	NA	NA	NA	mMGE
uvig_110167	43308	NA	NA	NA	13470_2#84,GCF_001078445,18391_1#2,11861_6#93,GCA_003433925	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae	GPD
ERR2855819_141_43605_round1256~1745663	NA	NA	NA	NA	NA	NA	mMGE
CP015399.1__7225343__3476253__3511552|prophage_in_NCBI_complete_prokaryotic_genomes,phage_finder|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
uvig_463861	47121	NA	NA	NA	NA	NA	GPD
uvig_287214	44321	NA	NA	NA	GCA_003479865,GCA_003477865,GCA_003435675,GCA_003480555,GCA_003480695,GCA_003481175,GCA_003460955,GCA_003481425,GCA_003479155,GCA_003462165,GCA_003480905,14207_7#8,GCA_003481455,GCA_003481245,GCA_003481205,GCA_003479665	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans	GPD
uvig_313822	34323	NA	NA	NA	GCA_003438725,GCF_000468015	Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_C/Ruminococcus_C callidus,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_C/Ruminococcus_C callidus	GPD
uvig_295097	95949	NA	NA	NA	GCA_003467725,GCA_003475515,GCA_003470905	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia intestinalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia intestinalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/NA	GPD
SRR6474285_119_14148_round347~1304188	NA	NA	NA	NA	NA	NA	mMGE
ivig_3296	86143	NA	NA	NA	GCF_000154365,14207_6#14,13470_2#84,8080_1#73,GCA_003439835,12718_7#79,12718_7#38,GCA_003468225,GCF_000233455,GCF_001078425,18391_1#2,GCF_001078445,11861_6#93,GCF_000233515	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M citroniae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum	GPD
SRR5935953_119_22448_round347~3957602	NA	NA	NA	NA	NA	NA	mMGE
uvig_86615	43699	NA	NA	NA	GCA_003438725	Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_C/Ruminococcus_C callidus	GPD
ERR209452_79_92934_round347~2871119	NA	NA	NA	NA	NA	NA	mMGE
uvig_257456	56678	NA	NA	NA	GCA_003473445,GCA_003474205	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens	GPD
uvig_231604	62618	NA	NA	NA	GCA_003459005,GCA_003464475,GCA_003438675,13414_6#6,GCA_003472045,GCA_003635485,14207_7#24,GCA_003471825,GCA_003463625,GCA_003469235,GCA_003437495,GCA_003468605,GCF_000162275	Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis	GPD
uvig_216025	52821	NA	NA	NA	GCA_003457635,GCA_003436485,GCF_000245775,GCA_003465005,GCA_003458205	Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis	GPD
